grod_id,type,lon,lat,sword_reach_id,distance_to_sword
128,Dam,-107.62382984161377,38.510556163132286,77280400234,4.504939285483757
129,Dam,-107.61348724365234,36.79938852770799,77260900044,581.069358811245
130,Dam,-107.53806352615356,38.4517654775264,77280400274,59.143161464580196
131,Dam,-107.41040733759519,24.807344052814223,77156000074,80.34693246577534
132,Dam,-107.38916365553735,25.10061522139305,77156000134,152.09566691416958
133,Dam,-107.33419418334961,38.45325263288139,77280400304,103.2002925912088
134,Dam,-107.30417892336845,32.86869878037686,75219100204,88.12392018246963
135,Dam,-107.29310810565948,32.89682204689567,75219100224,22.947098181964943
136,Dam,-107.19390258193016,39.587542896180906,77280700024,116.17119667093868
137,Dam,-107.19184398651123,33.15411594931205,75219100274,38.84542873520538
138,Dam,-107.14759519066024,24.814651864999355,77156000304,37.43094496102598
139,Dam,-106.92310139536858,32.4971495913578,75219100124,4.627134087828204
140,Dam,-106.90822720527649,42.15584802916047,74294900784,22.696130088363496
141,Dam,-106.88367803499239,51.25872182544556,71250500104,14.463508799925783
142,Dam,-106.8809974193573,42.17405102288338,74294900754,64.12936461913102
143,Dam,-106.85410022735596,42.467989586623155,74294900674,87.83154988718245
144,Dam,-106.80816722506984,24.57148355668003,77154000124,79.1673739175064
145,Dam,-106.79829150438309,32.22787055620147,75219100094,27.43032784157558
146,Dam,-106.73303604125977,36.59416799719804,75219600104,67.39572050397575
147,Dam,-106.7202365398407,42.54811675057394,74294900644,72.30392562950338
148,Dam,-106.7011821269989,42.56509231486406,74294900614,0.207915749413917
149,Dam,-106.69588686201007,24.121687227504825,77153900074,780.3276385075809
150,Dam,-106.52762308716774,31.784170144903943,75219100044,59.25690025730696
151,Dam,-106.4681451022625,31.75932414328774,75219100024,132.17293762739277
152,Dam,-106.42996788024902,50.98644591360827,71228900034,82.51626549564874
153,Dam,-106.42644882202148,36.2379390450201,75219600044,28.005740207042404
154,Dam,-106.35299921035767,48.021390918661844,74299500034,9.066454995558324
155,Dam,-106.3201904296875,35.6198376262125,75219500014,307.070518912296
156,Dam,-106.2047603572048,23.480430119350018,77153600084,25.044390453728955
157,Dam,-105.62903344631195,28.1652573906829,75218400054,10.01484433275356
158,Dam,-105.42719453573227,28.39699482266241,75218100714,63.23736517492162
159,Dam,-105.41411876678467,27.54469216509338,75218700064,19.379157352726473
160,Dam,-105.38229703903198,27.576383996441994,75218700034,109.46512213747624
161,Dam,-105.32319456338882,28.18195495068494,75218500564,78.60421845555366
162,Dam,-105.30088663101196,28.249446840500095,75218501014,103.03065043202899
163,Dam,-105.28140306472778,28.984183011560685,75218100574,185.127799338231
164,Dam,-105.23038743150806,20.75162858574452,77130801214,52.3240090857761
165,Dam,-105.1340059190797,19.99818839268706,77130700054,76.99518191359576
166,Dam,-105.13284913093463,20.887864019099347,77130801244,0.432260862579778
167,Dam,-104.95765775442123,29.329481247612353,75218100464,79.39707252686698
168,Dam,-104.95065450668335,42.479155492865445,74294900374,7.691177650690465
169,Dam,-104.90868330001831,29.41361005741082,75218100424,75.02010553178886
